title,post_body,price,location,url,bedrooms,bathrooms,datetime,latitude,longitude,cats_allowed,dogs_allowed,geometry,district,post_length
spectacular 3 bedroom,"high end 3 bedroom listing id #: 449450 price: $4,000 property type: apartment bedrooms: 3.0 bathrooms: 1.0 pets: pets ok building amenities doorman elevator health club garage new construction laundry bicycle room storage wifi apartment amenities walls ok furnished dishwasher washer hardwood high ceilings renovated marble bath granite kitchen light eat in kitchen walk in closet live work microwave stainless steel appliances open kitchen city view open view welcome to this exceptional 3 bedroom located in the heart of wall street, in the vibrant financial district of new york city. this modern and sophisticated apartment offers a prime location and a comfortable living space, ideal for those seeking the excitement and convenience of downtown manhattan. the living area is a versatile space that can be customized to suit your needs. whether you prefer a cozy lounge area or a designated workspace, this unit offers the flexibility to create your ideal living arrangement allowing flex walls. the neutral color palette allows for personalization and complements a variety of decor styles. the kitchen is well-appointed with modern appliances, including a refrigerator, 4 burner stove/oven, dishwasher, and microwave. it features stylish cabinetry, ample counter space, and a breakfast bar or marble island for convenient dining and meal preparation. large panoramic knee to ceiling windows may provide views of the surrounding cityscape, adding to the allure of the space. closet space ensures sufficient storage for your belongings. don't miss out on the opportunity to live in this exceptional wall street rental unit. schedule a viewing today and experience the vibrant energy of the financial district in the heart of new york city. living in the financial district puts you at the center of a dynamic neighborhood with a rich history and a thriving business district. you'll have easy access to a wide range of dining options, trendy bars, upscale shopping, and cultural attractions. excellent transportation links, including nearby subway stations and bus stops, make it convenient to explore the rest of the city. amenities: highlights dishwasher doorman elevator pets allowed private outdoor space building amenities bike room children's playroom community recreation facilities concierge gym laundry in building live-in super storage available outdoor space patio the financial district, a bustling hub of business and culture in the heart of manhattan, offers seamless access to the extensive new york city subway system operated by the metropolitan transportation authority (mta). with multiple subway lines connecting this vibrant district to the rest of the city, commuting has never been more convenient. subway lines serving the financial district: 2, 3 lines: these lines provide swift access to the financial district with stations such as wall street (2, 3) and fulton street (2, 3). experience efficient travel to midtown manhattan, brooklyn, and beyond. 4, 5 lines: stations like wall street (4, 5) and bowling green (4, 5) offer direct routes to destinations along the east side and the bronx. a, c lines: the fulton street station (a, c) connects you to various parts of manhattan and brooklyn, while the chambers street station (a, c) provides access to the west side of the city. j, z lines: the broad street station (j, z) is a gateway to brooklyn and queens, offering additional travel options for your daily commute. r, w lines: the r and w lines serve the whitehall street station, conveniently connecting the financial district to midtown manhattan and queens. benefits of subway access in the financial district: efficiency: the mta subway system enables quick and efficient travel, ensuring you can reach your destination in a timely manner, whether it's for work, entertainment, or exploration. connectivity: the financial district's extensive subway options ensure you can easily connect to other neighborhoods throughout manhattan and beyond, including cultural landmarks, entertainment venues, and shopping districts. cost-effective: utilizing the subway is an economical way to navigate the city, avoiding traffic congestion and parking expenses. cultural exploration: access to various subway lines encourages exploration of new york city's diverse neighborhoods, each with its own unique character and attractions. eco-friendly: choosing the subway reduces your carbon footprint and contributes to a more sustainable urban environment. experience the unparalleled convenience of subway travel from the financial district and embrace the dynamic energy of new york city as you effortlessly access its iconic destinations and hidden gems. whether you're commuting to work, meeting friends, or embarking on an adventure, the mta subway system ensures you're always well-connected in this vibrant metropolis. jimmy posted by realtymx™ for appointment to view, call or text jimmy @ (917) 945-6941",4000,financial district,https://newyork.craigslist.org/mnh/apa/d/new-york-spectacular-bedroom/7702421021.html,3,1.0,['2023-12-29 17:39'],40.7056,-74.0083,1,1,POINT (-74.0083 40.7056),Manhattan,4938.0
cozy rent stabilized renovated 2 room studio in greenpoint,"cozy renovated apt. in building o newly renovated o kitchen appliances included o near all - around the corner from laundromat, restaurants, shopping area, etc. o short distance from ridgewood, middle village, williamsburg, east williamsburg, bushwick, bedford stuyvesant, lower east side, bowery, chinatown, soho, greenwich village, queens, lirr etc. o 15 minutes to/from lower manhattan o ready for move-in o call or text mike tirelli at 917-698-2319",1795,greenpoint,https://newyork.craigslist.org/brk/apa/d/long-island-city-cozy-rent-stabilized/7702409243.html,0,1.0,['2023-12-29 17:04'],40.735345,-73.953098,1,0,POINT (-73.953098 40.735345),Brooklyn,452.0
🔥amazing🔥 2 bed + backyard in bushwick 🌳,this apartment is located in the very desirable neighborhood of bushwick 🌳 apartment features: ⚡️stainless steel appliances ⚡️hardwood floors ⚡️backyard ⚡️full bathroom ⚡️laundry in building ⚡️high ceilings ⚡️exposed brick ⚡️natural light throughout ⚡️& more!!! contact fabron for showings via call/text at (954) 668-4800 🏁📞,3000,brooklyn,https://newyork.craigslist.org/brk/apa/d/brooklyn-amazing-bed-backyard-in/7702406842.html,2,1.0,['2023-12-29 16:57'],40.691,-73.9195,1,1,POINT (-73.9195 40.691),Brooklyn,324.0
furnished one bedroom apartment newly renovated all utilities included,"** pay only 30% of all utilities + free wifi ** if you like to party then this place is not for you. peaceful and centrally located; newly renovated ** furnished ** one bedroom apartment in the lower level of a townhouse with new kitchen & dinning area. 4 blocks of 74 st./roosevelt ave. train station. 20min. to manhattan/nyc. by car 10 min. from la guardia airport. 35min.  from jfk airport. about 10min. from flushing meadows park and citi field the ny meets  stadium. walking distance to several shops, restaurants & bars on roosevelt ave and on northern blvd. all utilities included + free wifi * bran new refrigerator * brand new gas stove * brand new kitchen cabinets *brand new floors *brand, new beds and mattresses *brand new nightstands *brand new dinning stool chairs tenant pays 30% of water/gas/electricity. looking for one  or two working adults max. a couple will be ideal. must have good credit, good references, and  paystub’s. call/text: 929-680-5052 looking for 2 months security and 1st month rent.",2700,jackson heights,https://newyork.craigslist.org/que/apa/d/jackson-heights-furnished-one-bedroom/7702406033.html,1,1.0,['2023-12-29 16:54'],40.7513,-73.883,0,0,POINT (-73.883 40.7513),Queens,1019.0
2 bedroom apt oceanside,"beautiful 2 bedroom apartment. 1st floor. freshly painted. rear yard, storage area. excellent schools. great neighborhood. cdcli",2800,oceanside,https://newyork.craigslist.org/lgi/apa/d/oceanside-bedroom-apt-oceanside/7702388522.html,2,1.0,['2023-12-29 16:06'],40.6362,-73.6375,0,0,POINT (-73.6375 40.6362),,128.0
lovely & modern unit on 3rd fl of pvt hse on saxon ave off sedgwick av,"peaceful, lovely and modern 3rd floor unit in a private house. completely renovated with new hardwood flooring throughout. spacious living room (18×9), lovely full kitchen (9×10) with recessed light, new stainless-steel appliances and all new fine cabinetry with quartz countertop. primary bedroom (150/sf) with huge closet, great lighting and hardwood flooring. 2nd bedroom (9×10) with closet and convenient motion censored lighting. one huge full bathroom with shower (8×10) including all new modern fixtures and recessed lighting, shower, vanity and vented. laundry facilities in premises. located on saxon avenue off sedgwick avenue. near henry hudson parkway and the major deegan, buses/trains - bx1, bx2, bx10 and 4 train. additionally, the express bus to nyc. short distance to 1 and d train. blocks from, ps95, bronx high school of science and lehman college, montefiore & north central hospitals.  call owner / 718.549.7636 please note: must view apartment in person prior to submitting application or fee. tome en cuenta es requirido ver el apartamento en persona antes de entregar su aplicación o cargos.",2800,bronx,https://newyork.craigslist.org/brx/apa/d/bronx-lovely-modern-unit-on-3rd-fl-of/7702399222.html,2,1.0,['2023-12-29 16:33'],40.88251,-73.890425,0,0,POINT (-73.890425 40.88251),Bronx,1115.0
lovely 1br full reno*w/d*d/w*central air*outdoor space,"lovely gut-renovated apartment with all modern appliances and fixtures. laundry in unit, dishwasher, central air, good closets. french doors set off a classic parlor with decorative victorian hearth. lovely spacious bath, comfortable bedroom overlooking back garden, which you can access via an external stair. amazing busy area just off atlantic yards, loads of restaurants, bars and great ice cream. surrounded by charming streetscapes and a 10-minute walk to the brooklyn museum and prospect park. pets case-by-case subways: 234 a c b q all within easy reach call realtylab! mark 917 306 9695 disclaimer: all information furnished herein is from sources deemed reliable. no representation is made by realtylab nor is any to be implied as to the accuracy thereof and all information is submitted subject to errors, omissions, change of price, prior sale or lease, or withdrawal without notice. all dimensions are approximate. for exact dimensions, please hire your own architect or engineer. buyer / lessee is responsible for his / her own due diligence.",3699,prospect heights,https://newyork.craigslist.org/brk/apa/d/brooklyn-lovely-1br-full-renow-dd/7702397201.html,1,1.0,['2023-12-29 16:27'],40.680459,-73.967535,1,1,POINT (-73.967535 40.680459),Brooklyn,1056.0
"__""large""__ open__""loft""_____lots of windows__""l"" morgan stop_","historic building full of artist, musicians, professional, students etc! great location! this beautiful  newley open loft apartment features: *** hard wood floors *** lots lots of windows *** 14 foot ceilings *** kitchen with wood cabinets & appliances *** 1  bathroom *** excellent lighting *** ready cable for tv *** pets allowed *** just a step away from grocery, library, and restaurant!! *** building and entire area occupied by nice young people, professional artists and musicians!!! ~~~by the ""l"" train @ morgan ave.. ____ contact mendie by phone or text @ 917.202.2925 _______________",3849,"williamsburg__""l"" morgan__""j &amp; m"" flushing stop",https://newyork.craigslist.org/brk/apa/d/brooklyn-large-openloftlots-of-windowsl/7702395028.html,1,1.0,['2023-12-29 16:21'],40.7012,-73.9436,1,1,POINT (-73.9436 40.7012),Brooklyn,593.0
"__beautifl___huge__ open__ new__""loft""___huge windows_""l"" morgan______","historic building full of artist, musicians, professional, students etc! great location! this beautiful   new  open  corner loft apartment features: *** hard wood floors *** lots lots of windows *** 14 foot ceilings *** new kitchen with wood cabinets & all  appliances, *** 1  bathroom *** excellent lighting *** ready cable for tv *** pets allowed *** just a step away from grocery, library, and restaurant!! *** building and entire area occupied by nice young people, professional artists and musicians!!! ~~~by the ""l"" train @ morgan ave.. ____""j & m"" flushing stop contact mendie by phone or text @ 917.202.2925 _______________",4100,"williamsburg__""l"" morgan__""j &amp; m"" flushing stop",https://newyork.craigslist.org/brk/apa/d/brooklyn-beautiflhuge-open-newlofthuge/7702394904.html,0,1.0,['2023-12-29 16:20'],40.7012,-73.9436,1,1,POINT (-73.9436 40.7012),Brooklyn,631.0
"___magnificent_ all  open__ new__modern__""loft""__","historic building full of artist, musicians, professional, students etc! great location! this beautiful   new aprox. 1100 sq. ft. open  loft apartment features: *** hard wood floors *** lots lots of windows *** 14 foot ceilings *** kitchen with wood cabinets & appliances, dishwasher, microwave *** 1  bathroom *** excellent lighting *** ready cable for tv *** pets allowed *** just a step away from grocery, library, and restaurant!! *** building and entire area occupied by nice young people, professional artists and musicians!!! ~~~by the ""l"" train @ morgan ave.. ____""j & m"" flushing stop contact mendie by phone or text @ 917.202.2925 _______________",4999,"williamsburg__""l"" morgan__""j &amp; m"" flushing stop",https://newyork.craigslist.org/brk/apa/d/brooklyn-magnificent-all-open/7702394760.html,1,1.0,['2023-12-29 16:20'],40.7012,-73.9436,1,1,POINT (-73.9436 40.7012),Brooklyn,656.0
3 bedrooms apartment bronx,"large 3 bedrooms  spacious apartment, quite neighborhood fully renovated. new kitchen, new cabinets, new floor, easy commute, 8 minutes walk to the 5 train close to public library, supermarket, laundromat, restaurants. schedule a showing please call ms. carol flores license realtor 347-317-3245 century 21 future homes realty. hablamos espanol",3200,bronx,https://newyork.craigslist.org/brx/apa/d/bronx-bedrooms-apartment-bronx/7702394002.html,1,3.0,['2023-12-29 16:18'],40.8702,-73.8495,0,0,POINT (-73.8495 40.8702),Bronx,344.0
for rent; new three-room apartment,"this apartment is located in the pelham bay area of the bronx. this apartment is completly remodeled with new eat in kitchen with white cabinets, and stainless-steel refrigerator, stove, microwave, and ceramic tile floor. there is a brand-new ceramic tile bathroom.  there also is a queen size bedroom with two closets, and an extra-large living room, all have wood flooring. please call anne at (929) 280 - 1053 to schedule an appointment to see this great apartment now.",1650,"bronx,ny",https://newyork.craigslist.org/brx/apa/d/bronx-for-rent-new-three-room-apartment/7702386746.html,1,1.0,['2023-12-29 16:02'],40.8465,-73.841,0,0,POINT (-73.841 40.8465),Bronx,472.0
douglaston 3 bedrooms a2baths,"newly renovated large three bedrooms fwo full baths on second floor. new kitchen, new bathrooms, washer and dryer, dishwasher, hardwood floor, parking included. excellent school district 26. must see! call or text 646-427-0200 philip",3000,douglaston,https://newyork.craigslist.org/que/apa/d/little-neck-douglaston-bedrooms-a2baths/7702385919.html,3,2.0,['2023-12-29 16:00'],40.7591,-73.7326,0,0,POINT (-73.7326 40.7591),Queens,233.0
convertible 2-3br with home office space! 🏡,"for quickest response, please text (516) 916-7655 with link to listing. convertible 2-3br with home office space! -stainless steel appliances - hardwood floors - dishwasher - laundry in building - virtual doorman",3199,brooklyn,https://newyork.craigslist.org/brk/apa/d/brooklyn-convertible-3br-with-home/7702385724.html,2,1.0,['2023-12-29 15:59'],40.700878,-73.912861,1,1,POINT (-73.912861 40.700878),Brooklyn,212.0
brand new 3br/1.5ba modern apartment in bushwick! 🏡,"for quickest response, please text (516) 916-7655 with link to listing. welcome to this brand new 3 bed 1.5 bath modern apartment in bushwick! this apartment is equipped: - queen size bedrooms - virtual doorman - dishwasher & microwave - central ac building amenities: - roof deck - laundry in-building - pet friendly the building is close to tons of restaurants, bars, and entertainment!",3540,brooklyn,https://newyork.craigslist.org/brk/apa/d/brooklyn-brand-new-3br-15ba-modern/7702385380.html,3,,['2023-12-29 15:58'],40.700423,-73.914192,1,1,POINT (-73.914192 40.700423),Brooklyn,388.0
charming brownstone junior 1br in prime crown heights! 🏡,"for quickest response, please text (516) 916-7655 with link to listing. brownstone junior one bedroom – prime crown heights short walk to 2.3.5 trains, and close to nostrand and franklin aves apartment features: - new kitchen - stunning open living area - full size bedroom - beautiful modern bathroom - hardwood floors - heat, hot water, and gas included in the rent!* you are close by to to nostrand & franklin aves, which you’ll find trendy bar, coffee shops, restaurants and much more. with a short walk you’re at the brooklyn museum, brooklyn botanic gardens, and prospect park.",2400,brooklyn,https://newyork.craigslist.org/brk/apa/d/brooklyn-charming-brownstone-junior-1br/7702385112.html,1,1.0,['2023-12-29 15:58'],40.669376,-73.948245,1,1,POINT (-73.948245 40.669376),Brooklyn,583.0
gorgeous 3br/1ba in prime bed-stuy! 🏡,"for quickest response, please text (516) 916-7655 with link to listing. gorgeous *3-bedroom & 1bath* apartment in prime bed-stuy! large 3 bedrooms and each bedroom has its own *closet and 2 windows* *spacious living room space* *modern kitchen with dishwasher* *lots of light throughout* *heat, hot water, and gas included*",2700,brooklyn,https://newyork.craigslist.org/brk/apa/d/brooklyn-gorgeous-3br-1ba-in-prime-bed/7702384963.html,3,1.0,['2023-12-29 15:57'],40.695607,-73.945048,1,1,POINT (-73.945048 40.695607),Brooklyn,323.0
unique 3br triplex in restored 19th century church clocktower! 🕰️,"for quickest response, please text (516) 916-7655 with link to listing. immerse yourself in this 3-bed triplex, seamlessly integrated into a meticulously restored 19th century church, blending historic charm with modern luxuries. this architectural gem, nestled within the iconic clocktower, offers three levels of spacious living. discover the allure of timeless features, from the hand painted tin ceiling to 19th century original exposed brickwork, echoing the essence of a bygone era. the residence features a bedroom on each level, a large living room with high ceilings, hardwood floors, central air and a modern kitchen and bathroom. ascend to the top level for unparalleled panoramic views of the skyline, a breathtaking 360-degree perspective offered by the unique clocktower setting. this prime location allows easy access to local cafes, boutiques and entertainment venues. in addition to the amazing apartment features, the building itself has everything you need for a comfortable and convenient lifestyle. enjoy the butterflymx intercom, laundry room, huge roof deck with manhattan views, parking , bike storage, and go lockers for shipping and receiving packages securely.",6250,brooklyn,https://newyork.craigslist.org/brk/apa/d/brooklyn-unique-3br-triplex-in-restored/7702384713.html,3,1.0,['2023-12-29 15:57'],40.698015,-73.933976,1,1,POINT (-73.933976 40.698015),Brooklyn,1187.0
✨✨stunning sunkissed 3 bed plus office 1  bath apt in clinton hill/forte gr,"stunning unit in clinton hill. huge 3 bedrooms + office  1 full bathrooms. common area is huge with big windows. bedrooms are very spacious can fit queen size beds comfortably. kitchen has stainless steel appliances. features dishwasher stunning kitchen central a/c and heat hardwood floor virtual doorman ss appliances short walk to fort greene park, prospect heights, bed-stuy, prospect park. an abundance of the finest bars, restaurants, cafes, shops, etc. within walking distance. contact semi 2063198023 requirement:680 credit score an income is 40 x the rent yearly income",4800,clinton hill,https://newyork.craigslist.org/brk/apa/d/brooklyn-stunning-sunkissed-bed-plus/7702384555.html,4,2.0,['2023-12-29 15:56'],40.679,-73.9644,1,1,POINT (-73.9644 40.679),Brooklyn,578.0
brand new building! beautiful 2br/1bath apartment in bed-stuy!,"brand new building! beautiful 2br/1bath apartment in bed-stuy , prime location! laundry, game room, roof deck, multiple lounges, gym! *multiple units available! this 2 bedroom apartment features: spacious living room queen sized bedrooms stainless steel kitchen w/ dishwasher hardwood floors tons of natural light good closet space laundry, parking, lounge, game room, pet spa, roof access, fitness center! you'll be right around the corner from dozens of top-rated bars, restaurants, cafes, grocers, and music/art venues. no brokers fee! just 1st month/security. contact adam today for a video tour! 917-817-9529 *price shown after 2.5 months free!",3150,brooklyn,https://newyork.craigslist.org/brk/apa/d/brooklyn-brand-new-building-beautiful/7702384533.html,2,1.0,['2023-12-29 15:56'],40.686819,-73.932325,1,1,POINT (-73.932325 40.686819),Brooklyn,649.0
beautiful 2br/1ba duplex with lounge and movie room! 🏡,"for quickest response, please text (516) 916-7655 with link to listing. beautiful 2 bedroom 1 bath duplex. lower level is a lounge area and a great movie room. bedrooms are on opposite ends of apartment, one has access to a shared courtyard and the other has access to the street. less than a block from the m train and 25 minute ride into nyc!",2799,brooklyn,https://newyork.craigslist.org/brk/apa/d/brooklyn-beautiful-2br-1ba-duplex-with/7702384482.html,2,1.0,['2023-12-29 15:56'],40.699886,-73.918784,1,1,POINT (-73.918784 40.699886),Brooklyn,344.0
charming 2br in bushwick with private backyard! 🏡,"everything you’ve been looking for in bushwick is right here! this 1st floor, two bedroom in a fun neighborhood has original wood molding details and plenty of windows to allow the natural light to flow in. private backyard! massive living room with a window bringing in natural light. cross the street and sip your morning coffee at maria hernandez park. enjoy the multitude of neighborhood cafes and bars. no need to worry about commute times, the jefferson l train stop is just two blocks from your door. all this and pet-friendly too!",3099,brooklyn,https://newyork.craigslist.org/brk/apa/d/brooklyn-charming-2br-in-bushwick-with/7702384109.html,2,1.0,['2023-12-29 15:55'],40.703611,-73.924985,1,1,POINT (-73.924985 40.703611),Brooklyn,538.0
brand new 3br/3.5ba with huge basement and private backyard! 🏡,"for quickest response, please text (516) 916-7655 with link to listing. brand new construction 3br / 3.5 bath with huge basement and private backyard! located steps away from the train makes commuting to manhattan effortless! ideal location with countless amazing restaurants and bars around. the apartment is equipped with: virtual doorman laundry-in unit dishwasher & microwave central ac building amenities: roof deck laundry in-building pet friendly",4950,brooklyn,https://newyork.craigslist.org/brk/apa/d/brooklyn-brand-new-3br-35ba-with-huge/7702383891.html,3,,['2023-12-29 15:54'],40.700016,-73.91432,1,1,POINT (-73.91432 40.700016),Brooklyn,453.0
chic 3br apartment with massive balcony in the heart of bushwick! 🏡,"for quickest response, please text (516) 916-7655 with link to listing. chic 3 bedroom apartment with massive private balcony right in the heart of bushwick! this has often been used as a 3br, all rooms fit a queen sized bed. however one of the bedrooms has no window to the outside, does have a cutout brining in light from other bedroom. makes a great office or extra hangout space! owner will also purchase standing closets if you want. see video to get a sense of layout. if you can’t see video , send me a message and i can text it to you. 1min walk to the dekalb l. 5min to the m train. featuring: - private balcony - large open living room - queen size bedrooms - stainless steel appliances - including dishwasher - and microwave! - laundry in building - large windows - plenty of sunlight! - elevator - roof deck - garage - zipcar in garage, yas! such a great location, with tons of cafe’s, bars and restaurants within a five minute walk! variety coffee, taquiera cocoyoc, milk and pull, the johnson’s, maria hernandez park, and many more!",3299,brooklyn,https://newyork.craigslist.org/brk/apa/d/brooklyn-chic-3br-apartment-with/7702383699.html,3,1.0,['2023-12-29 15:53'],40.702082,-73.918869,1,1,POINT (-73.918869 40.702082),Brooklyn,1047.0
beautifully renovated 2br duplex with 2 baths & in-unit laundry! 🏡,"for quickest response, please text (516) 916-7655 with link to listing. beautiful gut renovated 2bedroom duplex with two-bathrooms & laundry in unit! located in prime bedstuy right by a/c trains! apartment features: - one queen size bedroom - king size basement bedroom area - two full modern bathrooms - great living area - open kitchen w/ stainless steel appliances + microwave - washer & dryer - central ac this beautiful duplex is conveniently located just steps to all the best cafes, bars, restaurants, health food stores, trendy shops and so much more that bedstuy has to offer!!!",3500,brooklyn,https://newyork.craigslist.org/brk/apa/d/brooklyn-beautifully-renovated-2br/7702383424.html,2,2.0,['2023-12-29 15:53'],40.681273,-73.919191,1,1,POINT (-73.919191 40.681273),Brooklyn,587.0
